model_slug,maker_name,model_name,primary_class,support_tags,latest_available_year,overall_price_median,overall_high_price,classification_reason
suzuki-alto-eco,スズキ,アルトエコ,古い年式中心の車種,軽自動車,2015,17.5,41.0,latest_available_year<=2022
suzuki-alto-lapin-chocolat,スズキ,アルトラパンショコラ,古い年式中心の車種,軽自動車,2015,40.7,93.0,latest_available_year<=2022
suzuki-baleno,スズキ,バレーノ,古い年式中心の車種,,2020,70.5,135.3,latest_available_year<=2022
suzuki-cervo,スズキ,セルボ,古い年式中心の車種,軽自動車,2010,14.7,37.0,latest_available_year<=2022
suzuki-cervo-mode,スズキ,セルボモード,古い年式中心の車種,軽自動車,1997,17.6,37.1,latest_available_year<=2022
suzuki-erio,スズキ,エリオ,古い年式中心の車種,,2005,6.0,18.0,latest_available_year<=2022
suzuki-erio-sedan,スズキ,エリオセダン,古い年式中心の車種,,2006,6.4,21.8,latest_available_year<=2022
suzuki-every-landy,スズキ,エブリイランディ,古い年式中心の車種,,2015,14.1,27.0,latest_available_year<=2022
suzuki-jimny-wide,スズキ,ジムニーワイド,古い年式中心の車種,,2005,17.0,37.5,latest_available_year<=2022
suzuki-kizashi,スズキ,キザシ,古い年式中心の車種,,2015,65.4,165.0,latest_available_year<=2022
suzuki-mr-wagon,スズキ,MRワゴン,古い年式中心の車種,軽自動車,2016,21.1,48.0,latest_available_year<=2022
suzuki-palette,スズキ,パレット,古い年式中心の車種,軽自動車,2014,17.5,40.5,latest_available_year<=2022
suzuki-splash,スズキ,スプラッシュ,古い年式中心の車種,,2014,16.2,42.0,latest_available_year<=2022
suzuki-sx4,スズキ,SX4,古い年式中心の車種,,2014,15.8,37.5,latest_available_year<=2022
suzuki-sx4-s-cross,スズキ,SX4 クロス,古い年式中心の車種,,2020,98.5,165.7,latest_available_year<=2022
suzuki-twin,スズキ,ツイン,古い年式中心の車種,軽自動車,2015,21.5,45.5,latest_available_year<=2022
suzuki-wagon-r-rr,スズキ,ワゴンR RR,古い年式中心の車種,軽自動車,2008,14.7,44.0,latest_available_year<=2022
suzuki-wagon-r-solio,スズキ,ワゴンRソリオ,古い年式中心の車種,ミニバン,2013,7.5,21.6,latest_available_year<=2022
suzuki-x-90,スズキ,X-90,古い年式中心の車種,,1997,29.0,79.7,latest_available_year<=2022
subaru-alcyone,スバル,アルシオーネ,古い年式中心の車種,,1988,40.1,122.5,latest_available_year<=2022
subaru-alcyone-svx,スバル,アルシオーネSVX,古い年式中心の車種,,2013,25.0,91.5,latest_available_year<=2022
subaru-dex,スバル,デックス,古い年式中心の車種,,2011,25.9,71.5,latest_available_year<=2022
subaru-dias-wagon,スバル,ディアスワゴン,古い年式中心の車種,,2019,45.0,114.0,latest_available_year<=2022
subaru-exiga,スバル,エクシーガ,古い年式中心の車種,ミニバン,2015,18.6,61.5,latest_available_year<=2022
subaru-exiga-crossover-7,スバル,エクシーガクロスオーバー7,古い年式中心の車種,ミニバン,2018,125.4,241.5,latest_available_year<=2022
subaru-impreza,スバル,インプレッサ,古い年式中心の車種,,2015,18.1,86.7,latest_available_year<=2022
subaru-impreza-anesis,スバル,インプレッサアネシス,古い年式中心の車種,,2016,23.8,60.5,latest_available_year<=2022
subaru-impreza-hatchback,スバル,インプレッサハッチバック,古い年式中心の車種,,2014,15.8,78.5,latest_available_year<=2022
subaru-impreza-hatchback-sti,スバル,インプレッサハッチバックSTI,古い年式中心の車種,,2014,126.0,269.5,latest_available_year<=2022
subaru-impreza-sports-wagon,スバル,インプレッサスポーツワゴン,古い年式中心の車種,,2007,11.7,40.6,latest_available_year<=2022
subaru-impreza-sports-wagon-sti,スバル,インプレッサスポーツワゴンSTI,古い年式中心の車種,,2004,71.6,203.0,latest_available_year<=2022
subaru-impreza-xv,スバル,インプレッサXV,古い年式中心の車種,,2017,67.6,184.0,latest_available_year<=2022
subaru-legacy,スバル,レガシィ,古い年式中心の車種,,2013,23.6,88.5,latest_available_year<=2022
subaru-legacy-b4,スバル,レガシィB4,古い年式中心の車種,,2020,26.5,120.6,latest_available_year<=2022
subaru-legacy-grand-wagon,スバル,レガシィグランドワゴン,古い年式中心の車種,,2018,31.6,197.0,latest_available_year<=2022
subaru-legacy-lancaster,スバル,レガシィランカスター,古い年式中心の車種,,2003,9.6,30.4,latest_available_year<=2022
subaru-legacy-touring-wagon,スバル,レガシィツーリングワゴン,古い年式中心の車種,,2015,22.3,71.6,latest_available_year<=2022
subaru-pleo,スバル,プレオ,古い年式中心の車種,軽自動車,2018,16.8,46.2,latest_available_year<=2022
subaru-pleo-nesta,スバル,プレオネスタ,古い年式中心の車種,軽自動車,2003,7.5,23.9,latest_available_year<=2022
subaru-r1,スバル,R1,古い年式中心の車種,軽自動車,2015,21.2,72.5,latest_available_year<=2022
subaru-r2,スバル,R2,古い年式中心の車種,軽自動車,2016,11.4,41.2,latest_available_year<=2022
subaru-sambar-dias,スバル,サンバーディアス,古い年式中心の車種,,2015,16.8,47.8,latest_available_year<=2022
subaru-sambar-dias-wagon,スバル,サンバーディアスワゴン,古い年式中心の車種,,2009,8.8,33.9,latest_available_year<=2022
subaru-trezia,スバル,トレジア,古い年式中心の車種,,2016,21.0,55.7,latest_available_year<=2022
subaru-vivio,スバル,ヴィヴィオ,古い年式中心の車種,軽自動車,1998,21.6,53.5,latest_available_year<=2022
subaru-vivio-bistro,スバル,ヴィヴィオビストロ,古い年式中心の車種,軽自動車,1998,5.0,9.6,latest_available_year<=2022
subaru-vivio-targa-top,スバル,ヴィヴィオタルガトップ,古い年式中心の車種,軽自動車,1995,9.8,14.5,latest_available_year<=2022
subaru-xv-hybrid,スバル,XVハイブリッド,古い年式中心の車種,,2017,133.5,229.5,latest_available_year<=2022
daihatsu-altis,ダイハツ,アルティス,古い年式中心の車種,,2020,28.1,173.0,latest_available_year<=2022
daihatsu-altis-hybrid,ダイハツ,アルティスハイブリッド,古い年式中心の車種,,2017,62.2,124.0,latest_available_year<=2022
daihatsu-atrai-wagon,ダイハツ,アトレーワゴン,古い年式中心の車種,,2022,30.4,123.5,latest_available_year<=2022
daihatsu-atrai7,ダイハツ,アトレー7,古い年式中心の車種,ミニバン,2009,9.3,28.9,latest_available_year<=2022
daihatsu-be-go,ダイハツ,ビーゴ,古い年式中心の車種,,2016,30.4,73.0,latest_available_year<=2022
daihatsu-boon-luminas,ダイハツ,ブーンルミナス,古い年式中心の車種,,2011,15.3,46.0,latest_available_year<=2022
daihatsu-charade,ダイハツ,シャレード,古い年式中心の車種,,1996,20.6,65.0,latest_available_year<=2022
daihatsu-coo,ダイハツ,クー,古い年式中心の車種,,2012,11.1,34.8,latest_available_year<=2022
daihatsu-esse,ダイハツ,エッセ,古い年式中心の車種,軽自動車,2012,11.0,37.5,latest_available_year<=2022
daihatsu-hijet-deck-van,ダイハツ,ハイゼットデッキバン,古い年式中心の車種,商用車,2022,41.4,145.0,latest_available_year<=2022
daihatsu-max,ダイハツ,MAX,古い年式中心の車種,軽自動車,2005,8.7,23.5,latest_available_year<=2022
daihatsu-mebius,ダイハツ,メビウス,古い年式中心の車種,,2019,62.5,149.5,latest_available_year<=2022
daihatsu-mira,ダイハツ,ミラ,古い年式中心の車種,軽自動車,2019,15.1,40.9,latest_available_year<=2022
daihatsu-mira-avi,ダイハツ,ミラアヴィ,古い年式中心の車種,軽自動車,2015,10.5,30.0,latest_available_year<=2022
daihatsu-mira-gino,ダイハツ,ミラジーノ,古い年式中心の車種,軽自動車,2017,18.1,47.6,latest_available_year<=2022
daihatsu-mira-gino-1000,ダイハツ,ミラジーノ1000,古い年式中心の車種,軽自動車,2004,18.1,41.1,latest_available_year<=2022
daihatsu-move-conte,ダイハツ,ムーヴコンテ,古い年式中心の車種,軽自動車,2017,20.9,52.1,latest_available_year<=2022
daihatsu-move-latte,ダイハツ,ムーヴラテ,古い年式中心の車種,軽自動車,2009,9.9,29.0,latest_available_year<=2022
daihatsu-naked,ダイハツ,ネイキッド,古い年式中心の車種,,2013,13.5,40.5,latest_available_year<=2022
daihatsu-opti,ダイハツ,オプティ,古い年式中心の車種,,2002,10.0,37.8,latest_available_year<=2022
daihatsu-sonica,ダイハツ,ソニカ,古い年式中心の車種,軽自動車,2009,15.2,39.4,latest_available_year<=2022
daihatsu-storia,ダイハツ,ストーリア,古い年式中心の車種,,2004,24.2,86.0,latest_available_year<=2022
daihatsu-terios,ダイハツ,テリオス,古い年式中心の車種,,2010,9.9,25.6,latest_available_year<=2022
daihatsu-terios-kid,ダイハツ,テリオスキッド,古い年式中心の車種,,2012,17.4,50.1,latest_available_year<=2022
daihatsu-wake,ダイハツ,ウェイク,古い年式中心の車種,,2022,60.1,149.5,latest_available_year<=2022
daihatsu-yrv,ダイハツ,YRV,古い年式中心の車種,,2009,8.7,29.0,latest_available_year<=2022
toyota-century,トヨタ,センチュリー,古い年式中心の車種,,2016,43.8,312.2,latest_available_year<=2022
toyota-crown-estate,トヨタ,クラウンエステート,古い年式中心の車種,,2011,21.6,206.0,latest_available_year<=2022
toyota-crown-sedan,トヨタ,クラウンセダン,古い年式中心の車種,,2021,21.0,62.9,latest_available_year<=2022
honda-accord,ホンダ,アコード,古い年式中心の車種,,2021,30.7,205.2,latest_available_year<=2022
honda-airwave,ホンダ,エアウェイブ,古い年式中心の車種,,2011,8.8,28.7,latest_available_year<=2022
honda-grace,ホンダ,グレイス,古い年式中心の車種,,2022,70.5,172.5,latest_available_year<=2022
honda-jade,ホンダ,ジェイド,古い年式中心の車種,,2020,113.0,224.0,latest_available_year<=2022
honda-stream,ホンダ,ストリーム,古い年式中心の車種,,2015,18.6,71.4,latest_available_year<=2022
mazda-atenza-sedan,マツダ,アテンザセダン,古い年式中心の車種,,2020,47.8,161.0,latest_available_year<=2022
mazda-atenza-sport,マツダ,アテンザスポーツ,古い年式中心の車種,,2013,16.5,60.9,latest_available_year<=2022
mazda-atenza-sport-wagon,マツダ,アテンザスポーツワゴン,古い年式中心の車種,,2018,18.9,66.5,latest_available_year<=2022
mazda-atenza-wagon,マツダ,アテンザワゴン,古い年式中心の車種,,2019,42.8,176.5,latest_available_year<=2022
mazda-axela-sport,マツダ,アクセラスポーツ,古い年式中心の車種,,2022,50.1,135.4,latest_available_year<=2022
mazda-az-offroad,マツダ,AZ-オフロード,古い年式中心の車種,軽自動車,2014,33.0,89.5,latest_available_year<=2022
mazda-az-wagon,マツダ,AZ-ワゴン,古い年式中心の車種,軽自動車,2015,14.2,41.0,latest_available_year<=2022
mazda-biante,マツダ,ビアンテ,古い年式中心の車種,ミニバン,2019,23.5,95.6,latest_available_year<=2022
mazda-capella,マツダ,カペラ,古い年式中心の車種,,2001,4.5,23.3,latest_available_year<=2022
mazda-capella-wagon,マツダ,カペラワゴン,古い年式中心の車種,,2011,4.5,29.5,latest_available_year<=2022
mazda-carol-eco,マツダ,キャロルエコ,古い年式中心の車種,軽自動車,2015,30.1,67.1,latest_available_year<=2022
mazda-cx-7,マツダ,CX-7,古い年式中心の車種,,2012,33.0,94.6,latest_available_year<=2022
mazda-familia,マツダ,ファミリア,古い年式中心の車種,,2012,35.4,138.5,latest_available_year<=2022
mazda-familia-s-wagon,マツダ,ファミリアS-ワゴン,古い年式中心の車種,,2004,5.0,16.2,latest_available_year<=2022
mazda-familia-sedan,マツダ,ファミリアセダン,古い年式中心の車種,,2004,16.9,93.0,latest_available_year<=2022
mazda-mpv,マツダ,MPV,古い年式中心の車種,ミニバン,2016,17.2,58.5,latest_available_year<=2022
mazda-premacy,マツダ,プレマシー,古い年式中心の車種,,2018,21.1,76.9,latest_available_year<=2022
mazda-scrum-wagon,マツダ,スクラムワゴン,古い年式中心の車種,軽自動車,2022,35.1,116.1,latest_available_year<=2022
mazda-sentia,マツダ,センティア,古い年式中心の車種,,2006,5.2,24.8,latest_available_year<=2022
mazda-spiano,マツダ,スピアーノ,古い年式中心の車種,軽自動車,2017,15.7,40.7,latest_available_year<=2022
mazda-tribute,マツダ,トリビュート,古い年式中心の車種,,2013,9.8,23.4,latest_available_year<=2022
mazda-verisa,マツダ,ベリーサ,古い年式中心の車種,,2015,15.1,45.7,latest_available_year<=2022
mitsubishi-airtrek,三菱,エアトレック,古い年式中心の車種,,2013,11.6,29.8,latest_available_year<=2022
mitsubishi-colt,三菱,コルト,古い年式中心の車種,,2012,20.4,76.5,latest_available_year<=2022
mitsubishi-colt-plus,三菱,コルトプラス,古い年式中心の車種,,2012,12.6,37.3,latest_available_year<=2022
mitsubishi-delica-space-gear,三菱,デリカ スペースギア,古い年式中心の車種,ミニバン,2007,22.1,69.1,latest_available_year<=2022
mitsubishi-delica-van,三菱,デリカバン,古い年式中心の車種,商用車,2019,24.6,76.0,latest_available_year<=2022
mitsubishi-diamante,三菱,ディアマンテ,古い年式中心の車種,,2005,5.1,21.6,latest_available_year<=2022
mitsubishi-dion,三菱,ディオン,古い年式中心の車種,ミニバン,2005,4.4,11.7,latest_available_year<=2022
mitsubishi-galant,三菱,ギャラン,古い年式中心の車種,,2021,18.5,110.5,latest_available_year<=2022
mitsubishi-galant-fortis,三菱,ギャランフォルティス,古い年式中心の車種,,2015,19.9,87.3,latest_available_year<=2022
mitsubishi-galant-fortis-sportback,三菱,ギャランフォルティススポーツバック,古い年式中心の車種,,2015,35.2,103.7,latest_available_year<=2022
mitsubishi-grandis,三菱,グランディス,古い年式中心の車種,ミニバン,2009,12.0,34.6,latest_available_year<=2022
mitsubishi-lancer-cargo,三菱,ランサーカーゴ,古い年式中心の車種,,2019,11.6,38.3,latest_available_year<=2022
mitsubishi-lancer-cedia,三菱,ランサーセディア,古い年式中心の車種,,2009,5.6,32.6,latest_available_year<=2022
mitsubishi-lancer-cedia-wagon,三菱,ランサーセディアワゴン,古い年式中心の車種,,2006,4.3,22.8,latest_available_year<=2022
mitsubishi-lancer-wagon,三菱,ランサーワゴン,古い年式中心の車種,,2007,6.6,21.3,latest_available_year<=2022
mitsubishi-legnum,三菱,レグナム,古い年式中心の車種,,2002,15.5,66.0,latest_available_year<=2022
mitsubishi-minica,三菱,ミニカ,古い年式中心の車種,軽自動車,2011,8.0,25.0,latest_available_year<=2022
mitsubishi-pajero,三菱,パジェロ,古い年式中心の車種,,2019,58.0,250.5,latest_available_year<=2022
mitsubishi-pajero-io,三菱,パジェロイオ,古い年式中心の車種,,2012,13.0,39.6,latest_available_year<=2022
mitsubishi-pajero-junior,三菱,パジェロジュニア,古い年式中心の車種,,2006,10.7,41.8,latest_available_year<=2022
mitsubishi-pajero-mini,三菱,パジェロミニ,古い年式中心の車種,軽自動車,2021,19.0,65.0,latest_available_year<=2022
mitsubishi-proudia,三菱,プラウディア,古い年式中心の車種,,2017,40.0,145.5,latest_available_year<=2022
mitsubishi-town-box,三菱,タウンボックス,古い年式中心の車種,軽自動車,2022,25.6,120.5,latest_available_year<=2022
nissan-bluebird,日産,ブルーバード,古い年式中心の車種,,2001,9.0,52.7,latest_available_year<=2022
nissan-cube,日産,キューブ,古い年式中心の車種,,2022,22.5,71.7,latest_available_year<=2022
nissan-juke,日産,ジューク,古い年式中心の車種,,2020,39.1,117.5,latest_available_year<=2022
nissan-lafesta,日産,ラフェスタ,古い年式中心の車種,ミニバン,2018,9.6,38.5,latest_available_year<=2022
nissan-murano,日産,ムラーノ,古い年式中心の車種,,2021,21.5,65.5,latest_available_year<=2022
nissan-presage,日産,プレサージュ,古い年式中心の車種,ミニバン,2009,10.8,23.9,latest_available_year<=2022
nissan-teana,日産,ティアナ,古い年式中心の車種,,2020,26.1,106.0,latest_available_year<=2022
nissan-tiida,日産,ティーダ,古い年式中心の車種,,2013,10.5,28.0,latest_available_year<=2022
suzuki-alto,スズキ,アルト,通常車種,軽自動車,2025,27.0,99.1,default
suzuki-alto-lapin,スズキ,アルトラパン,通常車種,軽自動車,2025,34.5,132.0,default
suzuki-alto-works,スズキ,アルトワークス,通常車種,軽自動車,2023,18.9,87.6,default
suzuki-every,スズキ,エブリイ,通常車種,商用車,2025,22.6,86.6,default
suzuki-every-wagon,スズキ,エブリイワゴン,通常車種,軽自動車|商用車,2026,41.5,158.3,default
